"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
3879,0,0,1,1,1,"Manhattan",40.74299,-73.99595,1,3,160,30,0,4.63,0,0.1,1,0,0,0,0,0,1,0,0,5.07517381523383
4026,2,0,3,1,0,"Manhattan",40.72186,-73.98504,1,7,350,30,137,4.88,0,0.71,1,0,0,0,0,0,1,0,0,5.85793315448346
3481,0,0,1,1,1,"Brooklyn",40.68348,-73.92511,1,2,81,30,0,4.47,0,0.35,0,0,1,0,0,1,0,0,0,4.39444915467244
3626,3,0,2,1,1,"Manhattan",40.82357,-73.95484,2,2,65,30,328,4.5,0,0.1,0,0,1,0,0,0,1,0,0,4.17438726989564
3634,2,0,0,1,1,"Manhattan",40.8117,-73.93907,1,2,128,30,51,4.49,0,0.4,1,0,0,0,0,0,1,0,0,4.85203026391962
3594,4,0,2,1,1,"Brooklyn",40.71084,-73.96401,1,2,121,3,38,4.95,0,1.11,0,0,1,0,0,1,0,0,0,4.79579054559674
3592,3,1,19,1,1,"Manhattan",40.74957,-73.99637,1,2,125,150,252,4.44,0,0.17,1,0,0,0,0,0,1,0,0,4.8283137373023
3478,0,0,1,1,1,"Manhattan",40.73139,-73.98431,0.5,2,150,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.01063529409626
3478,4,0,1,1,1,"Brooklyn",40.71962,-73.96405,2,4,300,5,154,5,0,0.14,1,0,0,0,0,1,0,0,0,5.7037824746562
4155,4,1,2,1,1,"Manhattan",40.75378,-73.96655,1,2,118,4,230,4.86,1,1.96,0,0,0,1,0,0,1,0,0,4.77068462446567
3476,2,0,3,1,1,"Manhattan",40.81322,-73.95311,1,2,50,3,305,4.85,0,0.31,0,0,1,0,0,0,1,0,0,3.91202300542815
3476,2,0,3,1,1,"Manhattan",40.78151,-74.01261,1,6,195,1,266,4.36,0,1.14,1,0,0,0,0,0,1,0,0,5.27299955856375
3476,4,0,1,1,1,"Brooklyn",40.66415,-73.97866,1,2,200,3,63,4.73,0,2.01,0,0,1,0,0,1,0,0,0,5.29831736654804
3491,4,1,1,1,0,"Brooklyn",40.67505,-74.00094,1,2,249,3,169,4.9,0,0.79,1,0,0,0,0,1,0,0,0,5.51745289646471
3475,2,0,3,1,1,"Manhattan",40.80633,-73.94987,1,1,60,4,279,4.67,0,0.37,0,0,1,0,0,0,1,0,0,4.0943445622221
4446,0,0,1,1,0,"Manhattan",40.77593,-73.94927,2,2,550,30,0,0,0,0,1,0,0,0,0,0,1,0,0,6.30991827822652
