"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4593,1,0,1,1,1,1,2,30,365,0,0,0,0,0,1,0,0,0,1,0,0,5.29831736654804
4636,4,0,0,1,1,2,2,2,310,4.71,0,0.89,0,0,1,0,0,1,0,0,0,4.38202663467388
5028,3,0,4,1,1,1,2,30,0,4.35,0,0.44,0,0,1,0,0,0,0,1,0,4.17438726989564
4588,4,1,1,1,1,1,2,5,174,4.86,1,1.82,0,0,1,0,0,0,1,0,0,4.60517018598809
4726,2,0,0,1,1,1,4,3,36,5,0,0.14,1,0,0,0,0,1,0,0,0,5.45958551414416
4674,4,1,2,1,1,1,1,5,32,4.82,0,0.86,0,0,1,0,0,1,0,0,0,4.55387689160054
4580,0,0,1,1,1,1,1,3,0,4.79,1,0.27,0,0,1,0,0,1,0,0,0,4.44265125649032
4591,3,0,5,1,1,1,2,3,43,4.65,0,1.62,0,0,1,0,0,0,1,0,0,4.30406509320417
4572,4,1,14,1,0,1,2,3,290,4.83,0,0.62,1,0,0,0,0,0,0,1,0,5.01063529409626
4568,4,1,1,1,1,1,4,3,4,4.82,0,0.88,1,0,0,0,0,0,1,0,0,5.52146091786225
4567,3,1,1,1,1,1,2,2,160,4.98,0,1.2,1,0,0,0,0,0,1,0,0,5.79909265446053
4566,4,1,2,1,1,1,2,3,178,4.87,0,2.31,1,0,0,0,0,0,1,0,0,5.07517381523383
4564,4,1,2,1,1,1.5,2,1,178,4.7,0,4.47,0,0,1,0,0,0,1,0,0,4.0943445622221
4564,0,0,1,1,0,1,4,2,246,4.72,0,0.21,0,0,1,0,0,1,0,0,0,4.93447393313069
4557,3,0,1,1,1,1,2,30,343,4.65,0,0.41,1,0,0,0,0,0,1,0,0,5.19295685089021
4642,4,1,5,1,1,1,9,30,358,5,0,0.02,1,0,0,0,0,0,0,1,0,5.27811465923052
4660,2,1,0,1,1,1,5,7,7,4.78,0,0.34,1,0,0,0,0,0,1,0,0,5.7037824746562
4550,4,0,1,1,1,1,6,30,295,4.38,1,0.83,1,0,0,0,0,0,1,0,0,6.41017488196617
4731,3,0,0,1,1,1,2,45,18,4.79,0,0.27,1,0,0,0,0,0,1,0,0,5.27299955856375
4786,0,0,0,1,1,1,3,30,0,4.88,0,0.07,1,0,0,0,0,0,1,0,0,5.52146091786225
4591,3,0,5,1,1,1.5,2,3,32,4.72,0,1.63,0,0,1,0,0,0,1,0,0,4.70953020131233
4598,0,0,1,1,0,1,2,30,0,5,0,0.07,0,0,1,0,0,0,1,0,0,4.8283137373023
4547,4,1,3,1,1,1,6,30,314,4.53,1,1.17,1,0,0,0,0,0,1,0,0,5.07517381523383
4547,0,0,1,1,1,1,6,30,0,5,0,0.03,1,0,0,0,0,0,1,0,0,5.35185813347607
5057,0,0,1,1,0,1,3,200,0,4.23,0,0.67,1,0,0,0,0,0,1,0,0,4.70048036579242
4538,2,0,1,1,1,1,2,30,153,4.82,0,0.46,1,0,0,0,0,0,1,0,0,4.86753445045558
4536,3,1,0,1,1,1,3,4,213,4.3,0,1.48,1,0,0,0,0,0,1,0,0,5.16478597392351
4536,3,1,3,1,1,2,4,3,54,4.78,0,1.07,1,0,0,0,0,1,0,0,0,5.65248918026865
4545,4,0,7,1,1,1,3,30,16,0,0,0,0,0,1,0,1,0,0,0,0,4.48863636973214
4532,3,1,5,1,0,1,2,2,335,4.92,0,0.46,1,0,0,0,1,0,0,0,0,4.61512051684126
4672,0,0,2,1,1,1,2,30,0,4.59,0,1.93,1,0,0,0,0,1,0,0,0,4.90527477843843
4536,3,1,0,1,1,2,4,7,63,4.37,0,1.1,1,0,0,0,0,0,1,0,0,5.96614673912369
4530,2,0,6,1,1,1,1,30,308,4.92,0,0.1,0,0,1,0,0,1,0,0,0,4.00733318523247
4703,0,0,1,1,1,1,2,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.29831736654804
4529,4,0,1,1,1,1,2,3,246,4.79,0,2.21,0,0,1,0,0,1,0,0,0,4.60517018598809
4528,0,0,1,1,1,1,2,30,242,4.82,1,0.32,0,0,1,0,0,1,0,0,0,4.31748811353631
4528,3,1,2,1,0,1,3,30,274,4.78,0,1.83,0,0,1,0,0,1,0,0,0,4.0943445622221
4944,2,1,2,1,0,1,2,7,31,4.57,0,1.67,0,0,1,0,0,0,1,0,0,4.31748811353631
4523,0,0,1,1,0,1.5,3,5,68,4.92,0,0.48,0,0,1,0,0,1,0,0,0,4.31748811353631
4527,4,1,3,1,1,1,7,1,345,5,0,0.05,1,0,0,0,0,0,1,0,0,5.98896141688986
4521,0,0,1,1,1,1,2,10,0,4.67,0,0.41,1,0,0,0,0,1,0,0,0,4.44265125649032
4521,3,0,0,1,1,1,3,30,58,4.52,0,1.16,1,0,0,0,0,1,0,0,0,4.66343909411207
4519,0,0,1,1,1,1,1,3,149,4.9,0,0.18,0,0,1,0,0,0,1,0,0,4.31748811353631
4518,0,0,1,1,0,1,4,30,233,4.87,0,0.55,1,0,0,0,0,1,0,0,0,5.24702407216049
4516,3,1,2,1,1,1,2,3,71,4.92,0,1.58,1,0,0,0,0,0,1,0,0,5.91889385427315
4527,4,1,3,1,1,1,7,1,345,4.86,0,1.4,1,0,0,0,0,0,1,0,0,6.0913098820777
4511,2,1,2,1,1,1,4,2,190,4.82,0,1.93,1,0,0,0,0,1,0,0,0,5.2257466737132
4509,4,1,2,1,1,1,3,2,221,4.99,0,1.47,1,0,0,0,0,1,0,0,0,5.34710753071747
4781,4,0,1,1,1,1,2,28,35,4.85,1,0.35,1,0,0,0,0,0,1,0,0,4.74493212836325
4508,2,1,1,1,1,1,4,30,61,4.89,0,0.54,1,0,0,0,0,1,0,0,0,4.86753445045558
4505,0,0,1,1,1,1,2,30,95,4.79,0,0.77,0,0,1,0,0,0,1,0,0,4.80402104473326
4867,0,0,0,1,1,0,1,30,0,0,0,0,0,0,1,0,0,0,0,1,0,4.00733318523247
4496,2,0,1,1,1,1,2,15,243,4.97,0,0.26,1,0,0,0,0,0,1,0,0,5.37063802812766
4495,3,0,1,1,1,1,2,30,157,4.86,0,0.07,0,0,1,0,0,1,0,0,0,4.60517018598809
4559,3,1,2,1,1,1,6,2,9,4.86,0,1.66,1,0,0,0,0,0,1,0,0,6.39024066706535
4488,2,0,2,1,1,1,2,30,27,4.84,0,0.47,1,0,0,0,0,0,1,0,0,5.07517381523383
4690,3,0,1,1,1,1,2,3,256,4.77,0,0.48,0,0,1,0,0,1,0,0,0,4.60517018598809
4481,4,0,2,1,1,1,5,4,313,4.97,1,0.33,1,0,0,0,0,0,1,0,0,5.80513496891649
4480,3,0,1,1,1,1,2,28,1,4.83,0,0.42,1,0,0,0,0,0,1,0,0,5.01063529409626
